City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
282,rehoboth,-23.3167,17.0833,70.57,40,16,9.8,NA,1731184738
283,walvis bay,-22.9575,14.5053,59.95,82,8,6.91,NA,1731184740
284,truro,50.2653,-5.0544,55.81,95,75,8.05,GB,1731184742
285,champoton,19.35,-90.7167,82.09,72,70,8.52,MX,1731184747
286,buka,40.8108,69.1986,45.48,63,39,3.33,UZ,1731184748
287,mukalla,14.5425,49.1242,78.93,65,14,3.85,YE,1731184750
288,sabang,5.8933,95.3214,81.72,74,100,7.36,ID,1731184753
289,hamza,40.4264,71.4956,40.95,68,0,0.83,UZ,1731184755
290,ribeira grande,38.5167,-28.7,70.2,94,40,5.99,PT,1731184757
291,luanco,43.6152,-5.7934,60.28,90,98,1.99,ES,1731184759
292,stiens,53.2623,5.7577,44.98,85,100,8.05,NL,1731184761
293,haiku-pauwela,20.9219,-156.3051,80.17,76,20,27.0,US,1731184763
294,hadibu,12.65,54.0333,77.97,80,70,7.27,YE,1731184764
295,ambalangoda,6.2355,80.0538,76.21,90,61,8.77,LK,1731184767
296,chaoyang,41.5703,120.4586,52.29,68,99,5.82,CN,1731184769
297,kegalle,7.2532,80.3454,71.51,93,100,3.47,LK,1731184770
298,talara,-4.5772,-81.2719,75.96,64,0,13.8,PE,1731184772
299,troitsko-pechorsk,62.7084,56.1964,24.64,79,96,11.86,RU,1731184774
300,saipan,15.1355,145.701,81.64,87,40,11.5,MP,1731184776
301,krasnyy yar,46.5331,48.3456,45.1,85,85,5.32,RU,1731184778
302,inarajan village,13.2736,144.7484,80.4,92,97,15.37,GU,1731184780
303,santana,-0.0583,-51.1817,91.58,52,20,11.5,BR,1731184782
304,alpine,32.835,-116.7664,77.14,14,0,4.61,US,1731184784
305,hailar,49.2,119.7,26.92,68,58,16.2,CN,1731184786
306,sukhothai,17.25,99.6667,70.93,87,3,3.22,TH,1731184788
307,kapa'a,22.0752,-159.319,80.92,81,40,13.8,US,1731184790
308,sangaria,29.8,74.45,71.69,43,0,5.21,IN,1731184792
309,sitka,57.0531,-135.33,44.49,76,75,10.36,US,1731184794
310,chibougamau,49.9168,-74.3659,31.62,69,100,8.05,CA,1731184796
